case_id,n_valid_pairs,method,pop_size,n_generations,time_s,hv_ratio,igd,n_front_points
201812004921,6,exhaustive,,,0.035605669021606445,1.0,0.0,2
201812004921,6,nsga2,10.0,3.0,0.41939377784729004,1.0,0.0,2
201812004921,6,nsga2,10.0,5.0,0.3340141773223877,1.0,0.0,2
201812004921,6,nsga2,10.0,7.0,0.3154723644256592,1.0,0.0,2
201812004921,6,nsga2,10.0,10.0,0.3123626708984375,1.0,0.0,2
201812004921,6,nsga2,20.0,3.0,0.18564057350158691,1.0,0.0,2
201812004921,6,nsga2,20.0,5.0,0.19073772430419922,1.0,0.0,2
201812004921,6,nsga2,20.0,7.0,0.19022583961486816,1.0,0.0,2
201812004921,6,nsga2,20.0,10.0,0.184187650680542,1.0,0.0,2
201812004921,6,nsga2,30.0,3.0,0.23719215393066406,1.0,0.0,2
201812004921,6,nsga2,30.0,5.0,0.3358755111694336,1.0,0.0,2
201812004921,6,nsga2,30.0,7.0,0.24102330207824707,1.0,0.0,2
201812004921,6,nsga2,30.0,10.0,0.2391512393951416,1.0,0.0,2
201812004921,6,nsga2,50.0,3.0,0.29211950302124023,1.0,0.0,2
201812004921,6,nsga2,50.0,5.0,0.28611040115356445,1.0,0.0,2
201812004921,6,nsga2,50.0,7.0,0.29021167755126953,1.0,0.0,2
201812004921,6,nsga2,50.0,10.0,0.28930068016052246,1.0,0.0,2
20191011380,6,exhaustive,,,0.03277993202209473,1.0,0.0,2
20191011380,6,nsga2,10.0,3.0,0.3711845874786377,1.0,0.0,2
20191011380,6,nsga2,10.0,5.0,0.5217864513397217,1.0,0.0,2
20191011380,6,nsga2,10.0,7.0,0.43912696838378906,1.0,0.0,2
20191011380,6,nsga2,10.0,10.0,0.4114103317260742,1.0,0.0,2
20191011380,6,nsga2,20.0,3.0,0.19319963455200195,1.0,0.0,2
20191011380,6,nsga2,20.0,5.0,0.16496610641479492,1.0,0.0,2
20191011380,6,nsga2,20.0,7.0,0.1826035976409912,1.0,0.0,2
20191011380,6,nsga2,20.0,10.0,0.1592845916748047,1.0,0.0,2
20191011380,6,nsga2,30.0,3.0,0.299924373626709,1.0,0.0,2
20191011380,6,nsga2,30.0,5.0,0.24800801277160645,1.0,0.0,2
20191011380,6,nsga2,30.0,7.0,0.22122716903686523,1.0,0.0,2
20191011380,6,nsga2,30.0,10.0,0.2062826156616211,1.0,0.0,2
20191011380,6,nsga2,50.0,3.0,0.2563760280609131,1.0,0.0,2
20191011380,6,nsga2,50.0,5.0,0.24724030494689941,1.0,0.0,2
20191011380,6,nsga2,50.0,7.0,0.28188323974609375,1.0,0.0,2
20191011380,6,nsga2,50.0,10.0,0.26672863960266113,1.0,0.0,2
20191013146,6,exhaustive,,,0.035877227783203125,1.0,0.0,1
20191013146,6,nsga2,10.0,3.0,0.29166269302368164,1.0,0.0,1
20191013146,6,nsga2,10.0,5.0,0.4114668369293213,1.0,0.0,1
20191013146,6,nsga2,10.0,7.0,0.3204774856567383,1.0,0.0,1
20191013146,6,nsga2,10.0,10.0,0.2840149402618408,1.0,0.0,1
20191013146,6,nsga2,20.0,3.0,0.18799662590026855,1.0,0.0,1
20191013146,6,nsga2,20.0,5.0,0.17316198348999023,1.0,0.0,1
20191013146,6,nsga2,20.0,7.0,0.1739335060119629,1.0,0.0,1
20191013146,6,nsga2,20.0,10.0,0.18160581588745117,1.0,0.0,1
20191013146,6,nsga2,30.0,3.0,0.20900297164916992,1.0,0.0,1
20191013146,6,nsga2,30.0,5.0,0.20608043670654297,1.0,0.0,1
20191013146,6,nsga2,30.0,7.0,0.2335340976715088,1.0,0.0,1
20191013146,6,nsga2,30.0,10.0,0.2844386100769043,1.0,0.0,1
20191013146,6,nsga2,50.0,3.0,0.27926039695739746,1.0,0.0,1
20191013146,6,nsga2,50.0,5.0,0.27507686614990234,1.0,0.0,1
20191013146,6,nsga2,50.0,7.0,0.29253721237182617,1.0,0.0,1
20191013146,6,nsga2,50.0,10.0,0.2510190010070801,1.0,0.0,1
20191014103,6,exhaustive,,,0.041871070861816406,1.0,0.0,3
20191014103,6,nsga2,10.0,3.0,0.31485462188720703,1.0,0.0,3
20191014103,6,nsga2,10.0,5.0,0.2946813106536865,1.0,0.0,3
20191014103,6,nsga2,10.0,7.0,0.3844797611236572,1.0,0.0,3
20191014103,6,nsga2,10.0,10.0,0.3586442470550537,1.0,0.0,3
20191014103,6,nsga2,20.0,3.0,0.19149994850158691,1.0,0.0,3
20191014103,6,nsga2,20.0,5.0,0.20099902153015137,1.0,0.0,3
20191014103,6,nsga2,20.0,7.0,0.186903715133667,1.0,0.0,3
20191014103,6,nsga2,20.0,10.0,0.2002882957458496,1.0,0.0,3
20191014103,6,nsga2,30.0,3.0,0.2165074348449707,1.0,0.0,3
20191014103,6,nsga2,30.0,5.0,0.2129967212677002,1.0,0.0,3
20191014103,6,nsga2,30.0,7.0,0.20732665061950684,1.0,0.0,3
20191014103,6,nsga2,30.0,10.0,0.2310941219329834,1.0,0.0,3
20191014103,6,nsga2,50.0,3.0,0.3811213970184326,1.0,0.0,3
20191014103,6,nsga2,50.0,5.0,0.31607937812805176,1.0,0.0,3
20191014103,6,nsga2,50.0,7.0,0.2890040874481201,1.0,0.0,3
20191014103,6,nsga2,50.0,10.0,0.28313565254211426,1.0,0.0,3
20191010920,12,exhaustive,,,0.024669647216796875,1.0,0.0,2
20191010920,12,nsga2,10.0,3.0,0.3567049503326416,1.0,0.0,2
20191010920,12,nsga2,10.0,5.0,0.640066385269165,1.0,0.0,2
20191010920,12,nsga2,10.0,7.0,1.0835661888122559,1.0,0.0,2
20191010920,12,nsga2,10.0,10.0,1.4568672180175781,1.0,0.0,2
20191010920,12,nsga2,20.0,3.0,0.48514652252197266,1.0,0.0,2
20191010920,12,nsga2,20.0,5.0,0.40676140785217285,1.0,0.0,2
20191010920,12,nsga2,20.0,7.0,0.3771035671234131,1.0,0.0,2
20191010920,12,nsga2,20.0,10.0,0.36139416694641113,1.0,0.0,2
20191010920,12,nsga2,30.0,3.0,0.4393148422241211,1.0,0.0,2
20191010920,12,nsga2,30.0,5.0,0.5684568881988525,1.0,0.0,2
20191010920,12,nsga2,30.0,7.0,0.4715445041656494,1.0,0.0,2
20191010920,12,nsga2,30.0,10.0,0.43299031257629395,1.0,0.0,2
20191010920,12,nsga2,50.0,3.0,0.3017861843109131,1.0,0.0,2
20191010920,12,nsga2,50.0,5.0,0.2965378761291504,1.0,0.0,2
20191010920,12,nsga2,50.0,7.0,0.335831880569458,1.0,0.0,2
20191010920,12,nsga2,50.0,10.0,0.3927171230316162,1.0,0.0,2
20191008074,18,exhaustive,,,0.0297091007232666,1.0,0.0,2
20191008074,18,nsga2,10.0,3.0,0.3327934741973877,1.0,0.0,2
20191008074,18,nsga2,10.0,5.0,0.6006882190704346,1.0,0.0,2
20191008074,18,nsga2,10.0,7.0,0.8472981452941895,1.0,0.0,2
20191008074,18,nsga2,10.0,10.0,1.3976538181304932,1.0,0.0,2
20191008074,18,nsga2,20.0,3.0,0.34619140625,1.0,0.0,2
20191008074,18,nsga2,20.0,5.0,0.35149216651916504,1.0,0.0,2
20191008074,18,nsga2,20.0,7.0,0.4512898921966553,1.0,0.0,2
20191008074,18,nsga2,20.0,10.0,0.38091540336608887,1.0,0.0,2
20191008074,18,nsga2,30.0,3.0,0.415083646774292,1.0,0.0,2
