pop_size,n_generations,mean_time_s,mean_hv_ratio,mean_igd,mean_front_points,speedup_vs_exhaustive
100.0,1.0,0.034328405062357584,0.7713664005159528,0.008846884753710794,2.2,1.5718934055760454
150.0,1.0,0.035886534055074054,0.7947486708546483,0.007217977505597767,2.466666666666667,1.503644611058048
200.0,1.0,0.03684480985005697,0.8034410281145422,0.006351981625091487,2.433333333333333,1.4645371698499832
125.0,1.0,0.038350637753804526,0.7752529583829844,0.007666124346680421,2.3666666666666667,1.4070324954663922
100.0,2.0,0.2574262221654256,0.8450234051530197,0.006607775286930902,2.533333333333333,0.20961576131427437
100.0,3.0,0.2743547439575195,0.8469317638711144,0.0052750668276108255,2.6,0.1966818315699267
125.0,2.0,0.3035967747370402,0.8394115339643025,0.005107207877340417,2.6333333333333333,0.17773770353193338
125.0,3.0,0.3273899555206299,0.8746795487055982,0.004254493032236784,2.6666666666666665,0.16482055307913376
150.0,2.0,0.3517419179280599,0.9061787417657715,0.0040884023047415225,2.5,0.15340961878902223
150.0,3.0,0.3720294316609701,0.93219177221713,0.0030159958242437545,2.7,0.1450438834920927
200.0,2.0,0.44700854619344077,0.872310963766241,0.0037360599110250756,2.7,0.12071490355379477
200.0,3.0,0.4754554033279419,0.9400665655895011,0.0019393338308735825,2.933333333333333,0.11349243938288843
