case:concept:name,simulation_index,recommended_activity,recommended_resource,first_batch,match_recommendation,status
20191013433,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013439,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013441,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013442,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013446,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013448,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013449,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013450,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013452,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191013453,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013457,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013460,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013461,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013463,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013464,1,Service closure Request with BO responsibility,00835,Service closure Request with BO responsibility / 00835,True,ok
20191013469,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013472,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013476,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013477,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013479,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013493,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013500,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191013501,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013502,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013503,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013504,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013505,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013507,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191013509,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013511,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013515,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013520,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013524,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013525,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191013526,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER | Pending Liquidation Request / BOC,True,ok
20191013530,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013532,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013534,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013535,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013541,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191013542,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013544,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013545,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191013546,1,Service closure Request with BO responsibility,00842,Service closure Request with BO responsibility / 00842,True,ok
20191013550,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013551,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013554,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013557,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191013560,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013562,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013563,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013566,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013568,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013570,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013576,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013577,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013582,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013583,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191013585,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013586,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013587,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013598,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191013599,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013601,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013602,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013604,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013605,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013606,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191013611,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013612,1,Service closure Request with BO responsibility,00842,Service closure Request with BO responsibility / 00842,True,ok
20191013613,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013614,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013618,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191013621,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013625,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191013626,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013636,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013638,1,Service closure Request with BO responsibility,00835,Service closure Request with BO responsibility / 00835,True,ok
20191013640,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013641,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013642,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191013645,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013646,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013648,1,Service closure Request with BO responsibility,00835,Service closure Request with BO responsibility / 00835,True,ok
20191013649,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191013653,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013655,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191013657,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013660,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191013662,1,Service closure Request with BO responsibility,00849,Service closure Request with BO responsibility / 00849,True,ok
20191013663,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013667,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013669,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191013673,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191013674,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013677,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191013679,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191013681,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191013682,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013683,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013685,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013688,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191013689,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013693,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013695,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013696,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013699,1,Pending Liquidation Request,BOCSER,Pending Liquidation Request / BOCSER,True,ok
20191013700,1,Evaluating Request (WITH registered letter),00147,Service closure Request with BO responsibility / BOC,False,ok
20191013703,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP | Evaluating Request (NO registered letter) / 00651 | Pending Liquidation Request / BOC,True,ok
20191013707,1,Authorization Requested,00476,Authorization Requested / 00476,True,ok
20191013709,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013710,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013714,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013718,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
20191013719,1,Pending Liquidation Request,BOCSER,Pending Liquidation Request / BOCSER,True,ok
20191013721,1,Service closure Request with network responsibility,00767,Service closure Request with network responsibility / 00767 | Service closure Request with BO responsibility / BOC,True,ok
20191013723,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013724,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191013726,1,Pending Liquidation Request,BOCSER,Pending Liquidation Request / BOCSER,True,ok
20191013728,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013730,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013732,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013733,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013737,1,Pending Liquidation Request,BOCSER,Pending Liquidation Request / BOCSER,True,ok
20191013738,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013741,1,Pending Liquidation Request,BOCSER,Pending Liquidation Request / BOCSER,True,ok
20191013743,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191013744,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
20191013748,1,Pending Liquidation Request,BOCSER,Pending Liquidation Request / BOCSER,True,ok
20191013750,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
20191013751,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20191013755,1,Evaluating Request (WITH registered letter),00045,Authorization Requested / 00076,False,ok
20191013756,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20191013757,1,Evaluating Request (WITH registered letter),00147,Authorization Requested / SB70,False,ok
20191013759,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
