case:concept:name,pred_outcome,pred_sigmoid_mm_time,pred_uncertainty
188485,0.6972313607990958,0.2533845605564044,0.20801240659056122
189805,0.17246795249834362,-0.08641648893598597,0.04580017697013786
191644,0.013636560777381908,0.07912177250396735,0.06552633180025405
193647,0.8016543494344134,8.76349657177311e-05,0.05756555716573916
193968,0.0644279319564597,0.020571398438372246,0.07193995058569021
194139,0.14206921435928113,0.15760135645456602,0.2324116734061296
194269,0.0904674397554421,0.1623355124374699,0.14854553581871557
195082,0.016683552074301486,0.2280387861120025,0.1996863888741842
195175,0.0308662774056126,0.17086866566019798,0.10867602201148222
195247,0.1313384660759252,-0.12816037403798486,0.04149866256242742
195259,0.363302300539354,0.22940719314917957,0.18534099171040264
195323,0.02221535754207841,0.24480529906616827,0.26151747427735844
195654,0.11755566639285822,0.1888089241488262,0.2091753347460623
196045,0.35794607279666185,0.21854867499475833,0.17021352219021232
196057,0.010550056897875122,0.02541098873697517,0.06109276830523224
196060,0.008669553417699255,0.020204211648117087,0.06862697399510696
196341,0.029606296981935575,0.17856335665760945,0.13231579242079675
196455,0.800497266436638,0.16252520384862437,0.14274749109766813
196521,0.07577765773999202,0.16037435171814013,0.1887236379070881
196602,0.8690755895228071,0.014272359186348726,0.04960025845804402
196867,0.5977611997109685,0.2420047764792904,0.1820221941341071
196948,0.8623315267091712,0.14058653401175947,0.10840000747045737
197051,0.032989685726942546,0.1435518368770331,0.14275340951550203
197093,0.013875471973706598,0.2435122864139646,0.15480775843798103
197162,0.01171497522937174,0.1933173754377433,0.183920386539453
197168,0.3297359989357319,0.28162452355233153,0.16402957773818605
197321,0.006269160635461745,0.05242205245761103,0.06945049501156135
197530,0.7438518052444615,-0.002247396140340918,0.0553206160854079
197605,0.019391001876335943,0.07035904708915736,0.08617030469005225
197800,0.281204229709144,0.2745430199224376,0.24792360700034022
198026,0.324250210043537,0.49665827093793824,0.25930453800705877
198232,0.07172237397779437,-0.04607474535029055,0.03923968419870911
198253,0.8525453771321391,0.0894069217940329,0.08684022847117367
198274,0.22722817974001733,0.2848025254047708,0.1893356871096873
198415,0.01637276145809821,0.058722672423638045,0.11940814174625985
198585,0.9772330018820313,-0.02074354194126593,0.03614292800440049
198618,0.1648398523052242,-0.023545604194467495,0.06192672961526113
199014,0.8475452717044233,0.051495952021147484,0.05804056099113805
199189,0.39564730829880285,0.3136252410461899,0.16727410098386594
199411,0.009434394419914846,0.002036198487503138,0.10735060318259414
199570,0.6123910588413063,0.32804130574489554,0.1740764713312149
199600,0.011038057689334456,-0.007562455042235183,0.0855994215288826
199633,0.0290313551039681,0.16779527832930863,0.09043545141442476
199681,0.8171874416054398,0.04111888201999464,0.07248849959665499
199800,0.030313116686690733,0.30035122563441435,0.3230433059202996
199893,0.13984597271167912,0.295676278313744,0.190003995774619
200103,0.5880187552677332,0.2460311802595622,0.1870036154537662
200320,0.4308160330090179,0.26455195613328697,0.20414668138385808
200386,0.8462335742431448,0.16516227899763067,0.1349766547398062
200593,0.6520226026543902,0.07205186179917375,0.09584119902247125
200635,0.6655125241215931,0.25279385978511404,0.24611987509677943
200764,0.3546842119036087,0.2497056037041819,0.21414001935912008
200770,0.017082997001237523,0.055258936174176404,0.07875325515073682
200811,0.8679818233285183,-0.016911962627752963,0.04537674258653964
200859,0.11639193030502748,0.20942642530261268,0.22806085812208304
200877,0.4791504629207357,0.39509977556459547,0.2508755342502012
200982,0.8720582754208087,0.10303491718572097,0.060446158427873986
201072,0.7997621759525697,0.16644968413949546,0.1477072861436019
201081,0.04112853423277059,-0.034452274767089563,0.09652369357583535
201144,0.01508666506174536,0.01421449769299743,0.09582987447434091
201244,0.05058316323712476,0.25716753130555303,0.1395980374618398
201328,0.04062991972649542,0.11983452054278904,0.08447210366736906
201373,0.07440977635803374,0.3005671910637225,0.20175802257820177
201376,0.11258412620546121,-0.04013501262143376,0.05568102856093877
201379,0.09655077395310259,0.10099325250886393,0.154391953128177
201397,0.09649747403950135,0.005071179374063428,0.0512841236361432
201427,0.033646289248084806,0.12156679349249777,0.10399230845184336
201433,0.2863663149612565,0.2915049438478743,0.20801223192833182
201526,0.07967875624273293,0.09803708081677542,0.165203003992955
201541,0.0196221911268766,0.24095848593947944,0.17535032186859448
201605,0.9640109263087127,-0.02449415775176944,0.03861593149605711
201611,0.09451073177580781,0.017809341305303428,0.047478163004974955
201677,0.29915235170798093,0.1649252004598791,0.14051578098474635
201725,0.9289530146253693,0.09247266163366918,0.06336876806626167
201743,0.0434337056600388,0.17911821526029614,0.1591648337466258
201770,0.30839113972750665,0.12035391127400566,0.13179601651984443
201833,0.02173003048761945,0.0072945507129200116,0.08343635711405141
201842,0.03226938085947883,-0.006060939538444554,0.07722510184423508
201848,0.009581853099044578,0.03520799383451978,0.08760441636073676
201854,0.9150147377138855,0.13212318012567556,0.09719977365330475
201885,0.4509606799232918,0.2501218105810693,0.1880018819953125
201891,0.5292472667420866,0.24237859123152428,0.20115655298879784
201909,0.14715432029132766,-0.03872871581380588,0.06262043072223408
201915,0.06307256389309938,0.19083503847266642,0.12869657259708903
