case:concept:name,concept:name,org:resource,start:timestamp,time:timestamp,case:RequestedAmount,case:ApplicationType = New credit,case:ApplicationType = Limit raise,EventOrigin = Application,EventOrigin = Offer,EventOrigin = Workflow,Action = Created,Action = statechange,Action = Deleted,"case:LoanGoal = Other, see explanation",case:LoanGoal = Car,case:LoanGoal = Not speficied,case:LoanGoal = Home improvement,case:LoanGoal = Unknown,case:LoanGoal = Caravan / Camper,case:LoanGoal = Existing loan takeover,case:LoanGoal = Extra spending limit,case:LoanGoal = Motorcycle,case:LoanGoal = Boat,case:LoanGoal = Remaining debt home,case:LoanGoal = Tax payments,case:LoanGoal = Business goal,case:LoanGoal = Debt restructuring
Application_1003444518,A_Create Application,User_1,2016-09-13 08:04:46.761000+00:00,2016-09-13 08:04:46.761000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1003444518,A_Submitted,User_1,2016-09-13 08:04:46.761000+00:00,2016-09-13 08:04:46.817000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1003444518,A_Concept,User_1,2016-09-13 08:04:46.817000+00:00,2016-09-13 08:05:26.065000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1003444518,A_Accepted,User_16,2016-09-13 08:05:26.065000+00:00,2016-09-13 14:05:15.852000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1003444518,O_Create Offer,User_16,2016-09-13 14:05:15.852000+00:00,2016-09-13 14:07:46.163000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1003444518,O_Created,User_16,2016-09-13 14:07:46.163000+00:00,2016-09-13 14:07:46.742000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1003444518,O_Sent (mail and online),User_16,2016-09-13 14:07:46.742000+00:00,2016-09-13 14:07:54.936000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1003444518,A_Complete,User_16,2016-09-13 14:07:54.936000+00:00,2016-09-13 14:07:54.958000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1003444518,A_Validating,User_131,2016-09-13 14:07:54.958000+00:00,2016-10-11 10:15:22.794000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1003444518,W_Validate application,User_131,2016-10-11 10:15:22.794000+00:00,2016-10-11 10:15:24.889000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1003444518,A_Incomplete,User_131,2016-10-11 10:15:24.889000+00:00,2016-10-11 10:15:24.896000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1003444518,O_Returned,User_131,2016-10-11 10:15:24.896000+00:00,2016-10-11 10:15:29.654000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1003444518,W_Validate application,User_83,2016-10-11 10:15:29.654000+00:00,2016-10-11 10:17:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,A_Incomplete,User_133,2016-10-11 10:17:29.654000+00:00,2016-10-11 10:19:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,A_Validating,User_126,2016-10-11 10:19:29.654000+00:00,2016-10-13 09:55:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,O_Returned,User_113,2016-10-13 09:55:29.654000+00:00,2016-10-13 09:55:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,W_Validate application,User_83,2016-10-13 09:55:29.654000+00:00,2016-10-13 09:59:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,A_Incomplete,User_118,2016-10-13 09:59:29.654000+00:00,2016-10-13 09:59:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,O_Accepted,User_68,2016-10-13 09:55:29.654000+00:00,2016-10-13 13:43:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,A_Pending,User_27,2016-10-13 13:43:29.654000+00:00,2016-10-13 13:43:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,A_Validating,User_46,2016-10-13 09:59:29.654000+00:00,2016-10-17 08:03:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,O_Returned,User_125,2016-10-17 08:03:29.654000+00:00,2016-10-17 08:03:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,W_Validate application,User_121,2016-10-17 08:03:29.654000+00:00,2016-10-17 08:05:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,A_Incomplete,User_41,2016-10-17 08:05:29.654000+00:00,2016-10-17 08:07:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,A_Validating,User_122,2016-10-11 10:19:29.654000+00:00,2016-10-17 12:05:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,A_Validating,User_121,2016-10-17 08:07:29.654000+00:00,2016-10-17 14:36:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,O_Accepted,User_83,2016-10-17 14:36:29.654000+00:00,2016-10-18 07:12:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003444518,A_Pending,User_100,2016-10-18 07:12:29.654000+00:00,2016-10-18 07:12:29.654000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1004385970,A_Create Application,User_1,2016-10-24 07:00:48.303000+00:00,2016-10-24 07:00:48.303000+00:00,10000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1004385970,A_Submitted,User_1,2016-10-24 07:00:48.303000+00:00,2016-10-24 07:00:49.174000+00:00,10000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1004385970,A_Concept,User_1,2016-10-24 07:00:49.174000+00:00,2016-10-24 07:01:48.295000+00:00,10000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1004385970,A_Accepted,User_60,2016-10-24 07:01:48.295000+00:00,2016-10-24 14:58:15.736000+00:00,10000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1004385970,O_Create Offer,User_60,2016-10-24 14:58:15.736000+00:00,2016-10-24 15:01:19.473000+00:00,10000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1004385970,O_Created,User_60,2016-10-24 15:01:19.473000+00:00,2016-10-24 15:01:20.099000+00:00,10000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1004385970,O_Sent (mail and online),User_60,2016-10-24 15:01:20.099000+00:00,2016-10-24 15:04:04.223000+00:00,10000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1004385970,A_Complete,User_60,2016-10-24 15:04:04.223000+00:00,2016-10-24 15:04:04.246000+00:00,10000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1004385970,W_Call after offers,User_67,2016-10-24 15:04:04.246000+00:00,2016-10-24 15:04:04.246000+00:00,10000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1004385970,A_Validating,User_126,2016-10-24 15:04:04.246000+00:00,2016-10-25 09:03:04.246000+00:00,10000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1004385970,O_Accepted,User_31,2016-10-25 09:03:04.246000+00:00,2016-10-27 13:23:04.246000+00:00,10000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1004385970,A_Pending,User_29,2016-10-27 13:23:04.246000+00:00,2016-10-27 13:23:04.246000+00:00,10000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1006138809,A_Create Application,User_1,2016-10-16 15:32:20.009000+00:00,2016-10-16 15:32:20.009000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1006138809,A_Submitted,User_1,2016-10-16 15:32:20.009000+00:00,2016-10-16 15:32:20.897000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1006138809,A_Concept,User_1,2016-10-16 15:32:20.897000+00:00,2016-10-16 15:33:25.293000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1006138809,A_Accepted,User_26,2016-10-16 15:33:25.293000+00:00,2016-10-17 10:21:31.283000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1006138809,O_Create Offer,User_3,2016-10-17 10:21:31.283000+00:00,2016-10-18 13:46:14.278000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1006138809,O_Created,User_3,2016-10-18 13:46:14.278000+00:00,2016-10-18 13:46:14.939000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1006138809,O_Sent (mail and online),User_3,2016-10-18 13:46:14.939000+00:00,2016-10-18 13:46:28.172000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1006138809,A_Complete,User_3,2016-10-18 13:46:28.172000+00:00,2016-10-18 13:46:28.203000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1006138809,A_Validating,User_131,2016-10-18 13:46:28.203000+00:00,2016-10-28 13:05:37.909000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1006138809,O_Returned,User_131,2016-10-28 13:05:37.909000+00:00,2016-10-28 13:05:42.317000+00:00,20000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1006138809,W_Validate application,User_99,2016-10-28 13:05:42.317000+00:00,2016-10-28 13:05:42.317000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1006138809,A_Incomplete,User_75,2016-10-28 13:05:42.317000+00:00,2016-10-28 13:08:42.317000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1006138809,A_Validating,User_123,2016-10-28 13:08:42.317000+00:00,2016-10-31 11:42:42.317000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1006138809,O_Returned,User_27,2016-10-31 11:42:42.317000+00:00,2016-10-31 11:42:42.317000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1006138809,A_Incomplete,User_75,2016-10-31 11:42:42.317000+00:00,2016-10-31 11:42:42.317000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1006138809,A_Validating,User_53,2016-10-31 11:42:42.317000+00:00,2016-10-31 15:23:42.317000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1006138809,O_Accepted,User_109,2016-10-31 15:23:42.317000+00:00,2016-11-01 06:46:42.317000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1006138809,A_Pending,User_31,2016-11-01 06:46:42.317000+00:00,2016-11-01 06:46:42.317000+00:00,20000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1008663678,A_Create Application,User_1,2016-10-17 18:26:23.140000+00:00,2016-10-17 18:26:23.140000+00:00,5000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1008663678,A_Submitted,User_1,2016-10-17 18:26:23.140000+00:00,2016-10-17 18:26:23.890000+00:00,5000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1008663678,A_Concept,User_1,2016-10-17 18:26:23.890000+00:00,2016-10-17 18:27:30.410000+00:00,5000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1008663678,A_Accepted,User_44,2016-10-17 18:27:30.410000+00:00,2016-10-19 16:16:07.109000+00:00,5000.0,,,,,,,,,,,,,,,,,,,,,,
Application_1008663678,O_Create Offer,User_44,2016-10-19 16:16:07.109000+00:00,2016-10-19 16:17:19.499000+00:00,5000.0,,,,,,,,,,,,,,,,,,,,,,
