pop_size,n_generations,mean_time_s,mean_hv_ratio,mean_igd,mean_front_points,speedup_vs_exhaustive
10.0,3.0,0.11493828296661376,0.6158929090146015,0.13740190708803232,4.6,0.47467516694631934
20.0,3.0,0.12210002740224203,0.6584620914380934,0.0732888281468714,5.7,0.44683322204314974
30.0,3.0,0.13840487798055012,0.6635399878788949,0.050967095813288656,6.766666666666667,0.3941938279326232
50.0,3.0,0.15507636864980062,0.8016482317796079,0.039125092975741335,7.733333333333333,0.35181600607960084
10.0,5.0,0.1937822182973226,0.6945522547221851,0.12976026830251539,5.0,0.28154465943821066
20.0,5.0,0.20504637559254965,0.7611051766062441,0.055129052856300445,5.933333333333334,0.26607809329980203
30.0,5.0,0.24438647429148355,0.7832205587453303,0.03411251961904359,7.566666666666666,0.22324618747364916
10.0,7.0,0.26372941335042316,0.7427508724981257,0.11965180831377577,5.366666666666666,0.20687244536963265
50.0,5.0,0.26870825290679934,0.9085640363262997,0.024441473025640533,7.4,0.2030393486820968
20.0,7.0,0.30631208419799805,0.8329915224943577,0.039355679586715854,6.433333333333334,0.17811360201001583
30.0,7.0,0.342929212252299,0.856140499593168,0.022676739360453328,8.1,0.15909507474551673
10.0,10.0,0.3812477270762126,0.8133203826553163,0.11015301073199307,5.7,0.14310471848346076
50.0,7.0,0.3881571690241496,0.9500630522432879,0.011375960180318752,7.566666666666666,0.1405573644121108
20.0,10.0,0.43296797275543214,0.8785081343888238,0.029506205979153065,7.0,0.126010125664696
30.0,10.0,0.48897928396860757,0.8959821253034831,0.017694374072967582,8.133333333333333,0.11157599195798103
50.0,10.0,0.5531219879786173,0.970397872181069,0.00748171082628669,8.0,0.09863709966599593
