case:concept:name,concept:name,org:resource,start:timestamp,time:timestamp,AMOUNT_REQ = 20000,AMOUNT_REQ = 5000,AMOUNT_REQ = 7000,AMOUNT_REQ = 45000,AMOUNT_REQ = 15000,AMOUNT_REQ = 9000,AMOUNT_REQ = 10000,AMOUNT_REQ = 2000,AMOUNT_REQ = 32000,AMOUNT_REQ = 6000,AMOUNT_REQ = 50000,AMOUNT_REQ = 15500,AMOUNT_REQ = 5500,AMOUNT_REQ = 33000,AMOUNT_REQ = 7493,AMOUNT_REQ = 8000,AMOUNT_REQ = 30000,AMOUNT_REQ = 5800,AMOUNT_REQ = 7500,AMOUNT_REQ = 25000,AMOUNT_REQ = 26000,AMOUNT_REQ = 43640,AMOUNT_REQ = 8400,AMOUNT_REQ = 21000,AMOUNT_REQ = 10600,AMOUNT_REQ = 1000,AMOUNT_REQ = 40000,AMOUNT_REQ = 7897,AMOUNT_REQ = 12000,AMOUNT_REQ = 9500,AMOUNT_REQ = 11300,AMOUNT_REQ = 8500,AMOUNT_REQ = 6100,AMOUNT_REQ = 29000,AMOUNT_REQ = 14000,AMOUNT_REQ = 6500,AMOUNT_REQ = 9200,AMOUNT_REQ = 5600,AMOUNT_REQ = 12500,AMOUNT_REQ = 37000,AMOUNT_REQ = 18000,AMOUNT_REQ = 17000,AMOUNT_REQ = 6564,AMOUNT_REQ = 34000,AMOUNT_REQ = 22500,AMOUNT_REQ = 22000,AMOUNT_REQ = 16000,AMOUNT_REQ = 27500,AMOUNT_REQ = 19000,AMOUNT_REQ = 35000,AMOUNT_REQ = 12750,AMOUNT_REQ = 99000,AMOUNT_REQ = 11000,AMOUNT_REQ = 5200,AMOUNT_REQ = 14226,AMOUNT_REQ = 7300,AMOUNT_REQ = 28000,AMOUNT_REQ = 15750,AMOUNT_REQ = 11280,AMOUNT_REQ = 2500,AMOUNT_REQ = 7800,AMOUNT_REQ = 9800,AMOUNT_REQ = 4500,AMOUNT_REQ = 3100,AMOUNT_REQ = 4000,AMOUNT_REQ = 36000,AMOUNT_REQ = 3000,AMOUNT_REQ = 28500,AMOUNT_REQ = 6800,AMOUNT_REQ = 13000,AMOUNT_REQ = 39000,AMOUNT_REQ = 38000,AMOUNT_REQ = 3500,AMOUNT_REQ = 23000,AMOUNT_REQ = 28212,AMOUNT_REQ = 25900,AMOUNT_REQ = 3250,AMOUNT_REQ = 8250,AMOUNT_REQ = 15883,AMOUNT_REQ = 10500,AMOUNT_REQ = 34500,AMOUNT_REQ = 24000,AMOUNT_REQ = 6750,AMOUNT_REQ = 36500,AMOUNT_REQ = 9400,AMOUNT_REQ = 13750,AMOUNT_REQ = 10250,AMOUNT_REQ = 80000,AMOUNT_REQ = 7900,AMOUNT_REQ = 9900,AMOUNT_REQ = 46000,AMOUNT_REQ = 7140,AMOUNT_REQ = 17500,AMOUNT_REQ = 47000,AMOUNT_REQ = 16250,AMOUNT_REQ = 7750,AMOUNT_REQ = 13650,AMOUNT_REQ = 11500,AMOUNT_REQ = 18233,AMOUNT_REQ = 10900,AMOUNT_REQ = 1500,AMOUNT_REQ = 8200,AMOUNT_REQ = 4200,AMOUNT_REQ = 33629,AMOUNT_REQ = 43350,AMOUNT_REQ = 6950,AMOUNT_REQ = 9600,AMOUNT_REQ = 27699,AMOUNT_REQ = 13500,AMOUNT_REQ = 37500,AMOUNT_REQ = 9450,AMOUNT_REQ = 19500,AMOUNT_REQ = 10048,AMOUNT_REQ = 43000,AMOUNT_REQ = 13300,AMOUNT_REQ = 43950,AMOUNT_REQ = 49000,AMOUNT_REQ = 48000,AMOUNT_REQ = 19400,AMOUNT_REQ = 31000,AMOUNT_REQ = 29500,AMOUNT_REQ = 13237,AMOUNT_REQ = 10285,AMOUNT_REQ = 16500,AMOUNT_REQ = 16100,AMOUNT_REQ = 3600,AMOUNT_REQ = 42300,AMOUNT_REQ = 3800,AMOUNT_REQ = 6900,AMOUNT_REQ = 15800,AMOUNT_REQ = 6872,AMOUNT_REQ = 42500,AMOUNT_REQ = 35600,AMOUNT_REQ = 30500,AMOUNT_REQ = 6255,AMOUNT_REQ = 8600,AMOUNT_REQ = 11389,AMOUNT_REQ = 27000,AMOUNT_REQ = 26500,AMOUNT_REQ = 12850,AMOUNT_REQ = 48287,AMOUNT_REQ = 34297,AMOUNT_REQ = 29250,AMOUNT_REQ = 42000,AMOUNT_REQ = 7250,AMOUNT_REQ = 32150,AMOUNT_REQ = 1600,AMOUNT_REQ = 19800,AMOUNT_REQ = 20500,AMOUNT_REQ = 13350,AMOUNT_REQ = 70000,AMOUNT_REQ = 10330,AMOUNT_REQ = 5900,AMOUNT_REQ = 13250,AMOUNT_REQ = 41000,AMOUNT_REQ = 12400,AMOUNT_REQ = 60000,AMOUNT_REQ = 6112,AMOUNT_REQ = 35315,AMOUNT_REQ = 23500,AMOUNT_REQ = 16750,AMOUNT_REQ = 23222,AMOUNT_REQ = 9948,AMOUNT_REQ = 15600,AMOUNT_REQ = 12900,AMOUNT_REQ = 27825,AMOUNT_REQ = 17400,AMOUNT_REQ = 17800,AMOUNT_REQ = 500,AMOUNT_REQ = 29622,AMOUNT_REQ = 20600,AMOUNT_REQ = 41700,AMOUNT_REQ = 14500,AMOUNT_REQ = 36505,AMOUNT_REQ = 33500,AMOUNT_REQ = 25,AMOUNT_REQ = 18500,AMOUNT_REQ = 27700,AMOUNT_REQ = 13200,AMOUNT_REQ = 9950,AMOUNT_REQ = 21500,AMOUNT_REQ = 5001,AMOUNT_REQ = 35035,AMOUNT_REQ = 31500,AMOUNT_REQ = 20072,AMOUNT_REQ = 9250,AMOUNT_REQ = 9023,AMOUNT_REQ = 9057,AMOUNT_REQ = 7050,AMOUNT_REQ = 37750,AMOUNT_REQ = 17862,AMOUNT_REQ = 16447,AMOUNT_REQ = 2350,AMOUNT_REQ = 12497,AMOUNT_REQ = 6400,AMOUNT_REQ = 38500,AMOUNT_REQ = 22700,AMOUNT_REQ = 6470,AMOUNT_REQ = 9750,AMOUNT_REQ = 1900,AMOUNT_REQ = 25500,AMOUNT_REQ = 29400,AMOUNT_REQ = 24759,AMOUNT_REQ = 12487,AMOUNT_REQ = 28750,AMOUNT_REQ = 41500,AMOUNT_REQ = 24500,AMOUNT_REQ = 9620,AMOUNT_REQ = 7700,AMOUNT_REQ = 26750,AMOUNT_REQ = 31172,AMOUNT_REQ = 11442,AMOUNT_REQ = 32500,AMOUNT_REQ = 7843,AMOUNT_REQ = 7200,AMOUNT_REQ = 5100,AMOUNT_REQ = 9350,AMOUNT_REQ = 27082,AMOUNT_REQ = 1200,AMOUNT_REQ = 44000,AMOUNT_REQ = 41112,AMOUNT_REQ = 46106,AMOUNT_REQ = 20095,AMOUNT_REQ = 10300,AMOUNT_REQ = 23600,AMOUNT_REQ = 42942,AMOUNT_REQ = 17050,AMOUNT_REQ = 9872,AMOUNT_REQ = 17812,AMOUNT_REQ = 6250,AMOUNT_REQ = 12600,AMOUNT_REQ = 28841,AMOUNT_REQ = 41382,AMOUNT_REQ = 19987,AMOUNT_REQ = 31646,AMOUNT_REQ = 9763,AMOUNT_REQ = 13247,AMOUNT_REQ = 9300,AMOUNT_REQ = 39750,AMOUNT_REQ = 56000,AMOUNT_REQ = 22707,AMOUNT_REQ = 6200,AMOUNT_REQ = 11975,AMOUNT_REQ = 9100,AMOUNT_REQ = 10835,AMOUNT_REQ = 18863,AMOUNT_REQ = 14646,AMOUNT_REQ = 11637,AMOUNT_REQ = 5312,AMOUNT_REQ = 25100,AMOUNT_REQ = 2300,AMOUNT_REQ = 13612,AMOUNT_REQ = 16785,AMOUNT_REQ = 21300,AMOUNT_REQ = 17250,AMOUNT_REQ = 25400,AMOUNT_REQ = 22950,AMOUNT_REQ = 7400,AMOUNT_REQ = 15722,AMOUNT_REQ = 28612,AMOUNT_REQ = 5250,AMOUNT_REQ = 14611,AMOUNT_REQ = 23230,AMOUNT_REQ = 46012,AMOUNT_REQ = 6875,AMOUNT_REQ = 6300,AMOUNT_REQ = 5750,AMOUNT_REQ = 31612,AMOUNT_REQ = 10750
188485,A_SUBMITTED,112,2011-11-23 15:56:48.528000+00:00,2011-11-23 15:56:48.528000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188485,A_PARTLYSUBMITTED,112,2011-11-23 15:56:48.528000+00:00,2011-11-23 15:56:48.726000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188485,A_PREACCEPTED,11169,2011-11-23 15:56:48.726000+00:00,2011-11-23 15:58:43.130000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188485,W_Afhandelen leads,11169,2011-11-23 15:58:43.130000+00:00,2011-11-23 15:58:44.294000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188485,A_ACCEPTED,11169,2011-11-23 15:58:44.294000+00:00,2011-11-23 16:02:03.551000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188485,O_SELECTED,11169,2011-11-23 16:02:03.551000+00:00,2011-11-23 16:15:22.384000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188485,A_FINALIZED,11169,2011-11-23 16:15:22.384000+00:00,2011-11-23 16:15:22.384000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188485,O_CREATED,11169,2011-11-23 16:15:22.384000+00:00,2011-11-23 16:15:23.620000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188485,O_SENT,11169,2011-11-23 16:15:23.620000+00:00,2011-11-23 16:15:23.657000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188485,W_Completeren aanvraag,11169,2011-11-23 16:15:23.657000+00:00,2011-11-23 16:15:25.058000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188485,W_Nabellen offertes,10982,2011-11-23 16:15:25.058000+00:00,2011-11-30 15:35:11.900000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188485,W_Nabellen offertes,10861,2011-11-30 15:35:11.900000+00:00,2011-12-01 18:13:45.411000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
