case_id,n_valid_pairs,method,pop_size,n_generations,time_s,hv_ratio,igd,n_front_points
Application_1085126063,79,exhaustive,,,0.04889869689941406,1.0,0.0,5
Application_1085126063,79,nsga2,10.0,3.0,0.12253642082214355,9.549958900096806e-05,0.07033000722912679,1
Application_1085126063,79,nsga2,10.0,5.0,0.21051764488220215,0.9977660870559883,0.018098727583356327,3
Application_1085126063,79,nsga2,10.0,7.0,0.28063225746154785,1.0,0.0,5
Application_1085126063,79,nsga2,10.0,10.0,0.41037702560424805,1.0,0.0,5
Application_1085126063,79,nsga2,20.0,3.0,0.15309834480285645,0.049875706552461894,0.027042483161152108,2
Application_1085126063,79,nsga2,20.0,5.0,0.414628267288208,0.9999704789119936,0.005551454865094227,4
Application_1085126063,79,nsga2,20.0,7.0,0.42085957527160645,1.0,0.0,5
Application_1085126063,79,nsga2,20.0,10.0,0.6051812171936035,1.0,0.0,5
Application_1085126063,79,nsga2,30.0,3.0,0.21073198318481445,1.0,0.0,5
Application_1085126063,79,nsga2,30.0,5.0,0.32055139541625977,1.0,0.0,5
Application_1085126063,79,nsga2,30.0,7.0,0.4395878314971924,1.0,0.0,5
Application_1085126063,79,nsga2,30.0,10.0,0.8165016174316406,1.0,0.0,5
Application_1085126063,79,nsga2,50.0,3.0,0.4080491065979004,1.0,0.0,5
Application_1085126063,79,nsga2,50.0,5.0,0.8192555904388428,1.0,0.0,5
Application_1085126063,79,nsga2,50.0,7.0,1.4058284759521484,1.0,0.0,5
Application_1085126063,79,nsga2,50.0,10.0,2.0403926372528076,1.0,0.0,5
Application_2031722279,79,exhaustive,,,0.02941155433654785,1.0,0.0,3
Application_2031722279,79,nsga2,10.0,3.0,0.10904622077941895,0.20560663997753184,0.027003363993618412,2
Application_2031722279,79,nsga2,10.0,5.0,0.16909527778625488,0.20560663997753184,0.027003363993618412,2
Application_2031722279,79,nsga2,10.0,7.0,0.279970645904541,0.20560663997753184,0.027003363993618412,2
Application_2031722279,79,nsga2,10.0,10.0,0.3767428398132324,0.20561899485133675,0.019846472121543706,2
Application_2031722279,79,nsga2,20.0,3.0,0.13077783584594727,0.20561899485133675,0.019846472121543706,2
Application_2031722279,79,nsga2,20.0,5.0,0.24536752700805664,0.9999956637451836,0.01568359139260669,2
Application_2031722279,79,nsga2,20.0,7.0,0.42596960067749023,0.9999956637451836,0.01568359139260669,2
Application_2031722279,79,nsga2,20.0,10.0,0.5047852993011475,0.9999956637451836,0.01568359139260669,2
