pop_size,n_generations,mean_time_s,mean_hv_ratio,mean_igd,mean_front_points,speedup_vs_exhaustive
10.0,3.0,0.10999766985575359,0.20973469890658553,0.08444966420219942,4.333333333333333,0.4671351088909616
20.0,3.0,0.1174776554107666,0.44464541548752895,0.04121554176820309,5.1,0.437391887896924
30.0,3.0,0.13444359302520753,0.5712676061289805,0.032466298051158936,5.433333333333334,0.38219577690240164
50.0,3.0,0.16100671291351318,0.742453057451081,0.020045241833150675,5.7,0.3191405659801337
10.0,5.0,0.18150440057118733,0.310685993012688,0.07440799886965375,5.166666666666667,0.28309932609962485
20.0,5.0,0.20351446469624837,0.6256078565006701,0.036675734685721766,5.7,0.2524821690807647
30.0,5.0,0.22803094387054443,0.7327330366675007,0.02170960463968407,5.966666666666667,0.2253368451388361
10.0,7.0,0.25435126622517906,0.35514090383990393,0.06927910364124827,5.666666666666667,0.20201894116119343
20.0,7.0,0.2930221398671468,0.6882600559136064,0.03341099387852931,5.866666666666666,0.1753579900451084
50.0,5.0,0.29356838862101237,0.8765921900965001,0.009639301784068582,6.2,0.17503169781728217
30.0,7.0,0.31484121481577554,0.8614971658871368,0.010699926674364308,6.133333333333334,0.16320535898035432
10.0,10.0,0.3633064428965251,0.4040007036547639,0.055755022626001835,5.9,0.14143369733867983
20.0,10.0,0.426911735534668,0.7970608068028405,0.02101582788156884,6.233333333333333,0.12036158580055432
50.0,7.0,0.4299099206924438,0.9019155643043201,0.005383524273677022,6.4,0.11952218595713515
30.0,10.0,0.4572833776473999,0.9012751233746064,0.007103878373834371,6.066666666666666,0.11236746402236443
50.0,10.0,0.6480232000350952,0.922158353466149,0.003308676504654982,6.533333333333333,0.07929310784403505
