pop_size,n_generations,mean_time_s,mean_hv_ratio,mean_igd,mean_front_points,speedup_vs_exhaustive
10.0,3.0,0.10124643643697102,0.5087181190007566,0.13168354667304516,2.8,0.39470515512470816
20.0,3.0,0.11103258927663168,0.6808802006304254,0.03908505513142034,3.3666666666666667,0.3599167655193033
30.0,3.0,0.11165854136149088,0.6702057791303996,0.031374236578885516,4.066666666666666,0.35789909049860585
50.0,3.0,0.1461608330408732,0.744886753907063,0.02081320356445128,4.6,0.27341449530807765
10.0,5.0,0.18160364627838135,0.6164959551697767,0.11609187052971102,3.066666666666667,0.22005334814929764
20.0,5.0,0.19836729367574055,0.8394905369051434,0.029453898399222214,4.233333333333333,0.20145705302106356
30.0,5.0,0.22055663267771403,0.7938639589843738,0.015953160334376413,4.7,0.18118924792469654
10.0,7.0,0.2669786055882772,0.622988708313421,0.1072650500354778,3.4,0.149684242719085
50.0,5.0,0.2829820394515991,0.9719466451749873,0.00415171774355605,4.9,0.14121917587816976
20.0,7.0,0.2900252262751261,0.8992349813673145,0.01299346959462433,4.533333333333333,0.1377897050988558
30.0,7.0,0.33287227153778076,0.9426140361063653,0.0051461055556511984,4.966666666666667,0.12005352748386805
10.0,10.0,0.3746540864308675,0.7056028059909446,0.09024286345711552,3.6666666666666665,0.1066650327516248
20.0,10.0,0.42160369555155436,0.9301187932706028,0.009208773093035132,4.766666666666667,0.09478685984333805
50.0,7.0,0.4255284865697225,0.989415470180383,0.002110882151936733,5.0,0.09391260905192238
30.0,10.0,0.5016969203948974,0.9696420733144742,0.0014466193019641675,5.1,0.07965464561397574
50.0,10.0,0.6299739519755045,1.0,0.0,5.1,0.06343514723801219
