case:concept:name,concept:name,org:resource,start:timestamp,time:timestamp,EventOrigin = Application,EventOrigin = Offer,EventOrigin = Workflow,Action = Created,Action = statechange,Action = Deleted,RequestedAmount,ApplicationType = New credit,ApplicationType = Limit raise,LoanGoal = Home improvement,LoanGoal = Car,LoanGoal = Existing loan takeover,"LoanGoal = Other, see explanation",LoanGoal = Unknown,LoanGoal = Extra spending limit,LoanGoal = Remaining debt home,LoanGoal = Caravan / Camper,LoanGoal = Not speficied,LoanGoal = Motorcycle,LoanGoal = Business goal,LoanGoal = Boat,LoanGoal = Tax payments
Application_1003257895,A_Create Application,User_35,2016-04-30 10:21:09.349000+00:00,2016-04-30 10:21:09.349000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,A_Concept,User_35,2016-04-30 10:21:09.349000+00:00,2016-04-30 10:21:09.398000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,A_Accepted,User_35,2016-04-30 10:21:09.398000+00:00,2016-04-30 10:27:52.295000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,O_Create Offer,User_35,2016-04-30 10:27:52.295000+00:00,2016-04-30 10:31:03.048000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,O_Created,User_35,2016-04-30 10:31:03.048000+00:00,2016-04-30 10:31:04.399000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,O_Create Offer,User_35,2016-04-30 10:31:04.399000+00:00,2016-04-30 10:31:21.566000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,O_Created,User_35,2016-04-30 10:31:21.566000+00:00,2016-04-30 10:31:22.740000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,O_Sent (mail and online),User_35,2016-04-30 10:31:22.740000+00:00,2016-04-30 10:32:34.371000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,O_Sent (mail and online),User_35,2016-04-30 10:32:34.371000+00:00,2016-04-30 10:32:34.374000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,W_Complete application,User_35,2016-04-30 10:32:34.374000+00:00,2016-04-30 10:32:34.397000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,A_Complete,User_35,2016-04-30 10:32:34.397000+00:00,2016-04-30 10:32:34.418000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,O_Create Offer,User_61,2016-04-30 10:32:34.418000+00:00,2016-05-09 09:54:18.045000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,O_Created,User_61,2016-05-09 09:54:18.045000+00:00,2016-05-09 09:54:19.317000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,O_Create Offer,User_61,2016-05-09 09:54:19.317000+00:00,2016-05-09 09:54:37.295000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,O_Created,User_61,2016-05-09 09:54:37.295000+00:00,2016-05-09 09:54:38.603000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,O_Sent (mail and online),User_61,2016-05-09 09:54:38.603000+00:00,2016-05-09 09:54:51.393000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,O_Sent (mail and online),User_61,2016-05-09 09:54:51.393000+00:00,2016-05-09 09:54:51.395000+00:00,,,,,,,0.0,,,,,,,,,,,,,,,
Application_1003257895,O_Sent (mail and online),User_37,2016-05-09 09:54:51.395000+00:00,2016-05-09 09:54:51.395000+00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003257895,A_Complete,User_46,2016-05-09 09:54:51.395000+00:00,2016-05-09 09:54:51.395000+00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003257895,A_Validating,User_120,2016-05-09 09:54:51.395000+00:00,2016-05-24 14:42:51.395000+00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003257895,O_Accepted,User_118,2016-05-24 14:42:51.395000+00:00,2016-05-24 16:22:51.395000+00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003257895,A_Pending,User_102,2016-05-24 16:22:51.395000+00:00,2016-05-24 16:22:51.395000+00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003257895,W_Validate application,User_87,2016-05-24 16:22:51.395000+00:00,2016-05-25 07:13:51.395000+00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003257895,A_Incomplete,User_83,2016-05-25 07:13:51.395000+00:00,2016-05-25 07:13:51.395000+00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003257895,A_Validating,User_119,2016-05-25 07:13:51.395000+00:00,2016-05-27 07:18:51.395000+00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003257895,W_Validate application,User_29,2016-05-27 07:18:51.395000+00:00,2016-05-27 07:54:51.395000+00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003257895,A_Incomplete,User_100,2016-05-27 07:54:51.395000+00:00,2016-05-27 07:54:51.395000+00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003257895,W_Call incomplete files,User_25,2016-05-27 07:54:51.395000+00:00,2016-05-30 11:31:51.395000+00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003257895,A_Validating,User_116,2016-05-30 11:31:51.395000+00:00,2016-05-30 15:36:51.395000+00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003257895,O_Accepted,User_113,2016-05-30 15:36:51.395000+00:00,2016-05-31 07:51:51.395000+00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1003257895,A_Pending,User_118,2016-05-31 07:51:51.395000+00:00,2016-05-31 07:51:51.395000+00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Application_1005586643,A_Create Application,User_46,2016-05-26 15:31:01.455000+00:00,2016-05-26 15:31:01.455000+00:00,,,,,,,10000.0,,,,,,,,,,,,,,,
